Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Parris Campbell,DAL@NYG,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
DeAndre Carter,LV@DEN,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Zach Charbonnet,LA@SEA,1,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0
Tyler Conklin,BUF@NYJ,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Derius Davis,MIA@LAC,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Erik Ezukanma,MIA@LAC,1,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
Antonio Gibson,ARI@WAS,1,0,0,0,0,0,0,3,9,0,0,1,10,0,0,1,0
Evan Hull,JAX@IND,1,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,0
Xavier Hutchinson,HOU@BAL,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Richie James,DET@KC,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Marvin Jones,DET@KC,1,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0
Christian Kirk,JAX@IND,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Isaiah Likely,HOU@BAL,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jaleel McLaughlin,LV@DEN,1,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0
Elijah Mitchell,SF@PIT,1,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0
Latavius Murray,BUF@NYJ,1,0,0,0,0,0,0,2,8,0,0,1,9,0,0,0,0
Josh Palmer,MIA@LAC,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Colby Parkinson,LA@SEA,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Alec Pierce,JAX@IND,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Giovanni Ricci,CAR@ATL,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Justyn Ross,DET@KC,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Boston Scott,PHI@NE,1,0,0,0,0,0,0,1,3,0,0,1,7,0,0,0,0
Devin Singletary,HOU@BAL,1,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0
D'Andre Swift,PHI@NE,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0
Ryan Tannehill,TEN@NO,1,34,16,198,0,3,0,3,5,0,0,0,0,0,0,0,0
Kadarius Toney,DET@KC,1,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,0
Zamir White,LV@DEN,1,0,0,0,0,0,0,1,2,0,0,1,5,0,0,0,0
Jamal Agnew,JAX@IND,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0
Jake Browning,CIN@CLE,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
