Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Dalton Schultz,HOU@IND,9,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0
Darren Waller,PHI@NYG,9,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0
Nelson Agholor,PIT@BAL,8,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0
Andrew Beck,HOU@IND,8,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0
Blaine Gabbert,KC@LAC,8,30,15,154,0,1,0,5,46,0,0,0,0,0,0,0,0
Tyler Johnson,LA@SF,8,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0
Charlie Jones,CLE@CIN,8,0,0,0,0,0,0,2,13,0,0,3,49,0,0,0,0
Drake London,ATL@NO,8,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0
Scott Miller,ATL@NO,8,0,0,0,0,0,0,0,0,0,0,2,66,0,0,0,0
Michael Pittman,HOU@IND,8,0,0,0,0,0,0,0,0,0,0,5,44,0,0,1,0
Tua Tagovailoa,BUF@MIA,8,27,17,173,1,2,0,1,7,0,0,0,0,0,0,0,0
Jalen Tolbert,DAL@WAS,8,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0
Kenneth Walker,SEA@ARI,8,0,0,0,0,0,0,17,78,0,0,1,3,0,0,0,0
Jaylen Warren,PIT@BAL,8,0,0,0,0,0,0,9,33,0,0,5,17,0,0,1,0
Ronnie Bell,LA@SF,7,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0
Zach Charbonnet,SEA@ARI,7,0,0,0,0,0,0,5,32,0,0,2,28,0,0,0,0
James Cook,BUF@MIA,7,0,0,0,0,0,0,13,36,0,0,3,16,0,0,0,0
Josh Downs,HOU@IND,7,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
Justin Fields,CHI@GB,7,16,11,148,0,0,0,8,27,0,0,0,0,0,0,0,0
Austin Hooper,DEN@LV,7,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Juwan Johnson,ATL@NO,7,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
Cole Kmet,CHI@GB,7,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Gardner Minshew,HOU@IND,7,24,13,141,0,0,1,1,9,0,0,0,0,0,0,0,0
Rondale Moore,SEA@ARI,7,0,0,0,0,0,0,1,5,0,0,4,31,0,0,0,0
Kalif Raymond,MIN@DET,7,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0,0
Cedric Tillman,CLE@CIN,7,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
Davis Allen,LA@SF,6,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0
Tyler Allgeier,ATL@NO,6,0,0,0,0,0,0,6,24,0,0,3,10,0,0,0,0
Chase Brown,CLE@CIN,6,0,0,0,0,0,0,11,43,0,0,1,10,0,0,0,0
Britain Covey,PHI@NYG,6,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Kenny Gainwell,PHI@NYG,6,0,0,0,0,0,0,7,62,0,0,0,0,0,0,0,0
Isaiah Hodgins,PHI@NYG,6,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Brycen Hopkins,LA@SF,6,0,0,0,0,0,0,0,0,0,0,2,47,0,0,0,0
Tucker Kraft,CHI@GB,6,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Chris Moore,JAX@TEN,6,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
Durham Smythe,BUF@MIA,6,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
Pierre Strong,CLE@CIN,6,0,0,0,0,0,0,14,65,0,0,0,0,0,0,0,0
Brandon Aiyuk,LA@SF,5,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Jordan Akins,CLE@CIN,5,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Mo Alie-Cox,HOU@IND,5,0,0,0,0,0,0,0,0,0,0,2,18,0,1,0,0
D.J. Chark,TB@CAR,5,0,0,0,0,0,0,0,0,0,0,2,46,0,0,1,0
Ja'Marr Chase,CLE@CIN,5,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0
Mike Evans,TB@CAR,5,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
Antonio Gibson,DAL@WAS,5,0,0,0,0,0,0,2,8,0,0,3,28,0,0,0,0
Khalil Herbert,CHI@GB,5,0,0,0,0,0,0,12,28,0,0,2,13,0,0,0,0
Elijah Higgins,SEA@ARI,5,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Justice Hill,PIT@BAL,5,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
Trenton Irwin,CLE@CIN,5,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
Charlie Kolar,PIT@BAL,5,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Jordan Mason,LA@SF,5,0,0,0,0,0,0,6,36,0,0,1,12,0,0,0,0
Baker Mayfield,TB@CAR,5,32,20,137,0,0,0,5,7,0,0,0,0,0,0,0,0
Ray Ray McCloud,LA@SF,5,0,0,0,0,0,0,1,7,0,0,3,22,0,0,0,0
Chigoziem Okonkwo,JAX@TEN,5,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
Josh Oliver,MIN@DET,5,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Cade Otton,TB@CAR,5,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
Samaje Perine,DEN@LV,5,0,0,0,0,0,0,3,7,0,0,3,23,0,0,0,0
Jalen Reagor,NYJ@NE,5,0,0,0,0,0,0,1,17,0,0,1,33,0,0,0,0
Ronnie Rivers,LA@SF,5,0,0,0,0,0,0,13,52,0,0,0,0,0,0,0,0
Deebo Samuel,LA@SF,5,0,0,0,0,0,0,1,11,0,0,2,21,0,0,0,0
Garrett Wilson,NYJ@NE,5,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
Chatarius Atwell,LA@SF,4,0,0,0,0,0,0,1,-4,0,0,2,7,0,1,0,0
Alex Erickson,KC@LAC,4,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
Jerome Ford,CLE@CIN,4,0,0,0,0,0,0,3,6,0,0,2,26,0,0,0,0
Pat Freiermuth,PIT@BAL,4,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Donovan Peoples-Jones,MIN@DET,4,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Kyle Pitts,ATL@NO,4,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Curtis Samuel,DAL@WAS,4,0,0,0,0,0,0,1,15,0,0,2,15,0,0,0,0
Sterling Shepard,PHI@NYG,4,0,0,0,0,0,0,1,6,0,0,3,18,0,0,0,0
Bennett Skowronek,LA@SF,4,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Jaxon Smith-Njigba,SEA@ARI,4,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0
Jeffery Wilson,BUF@MIA,4,0,0,0,0,0,0,9,45,0,0,0,0,0,0,0,0
Bryce Young,TB@CAR,4,18,11,94,0,0,0,2,24,0,0,0,0,0,0,1,0
