Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Chigoziem Okonkwo,ATL@TEN,6,0,0,0,0,0,0,1,4,0,0,4,23,0,0,0,0
Kyle Pitts,ATL@TEN,6,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Tony Pollard,LA@DAL,6,0,0,0,0,0,0,12,53,0,0,1,2,0,0,0,0
Curtis Samuel,PHI@WAS,6,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0
Devin Singletary,HOU@CAR,6,0,0,0,0,0,0,10,30,0,0,2,13,0,0,0,0
Rhamondre Stevenson,NE@MIA,6,0,0,0,0,0,0,10,39,0,0,2,11,0,0,0,0
Jaylen Warren,JAX@PIT,6,0,0,0,0,0,0,5,19,0,0,4,19,0,0,0,0
Christian Watson,MIN@GB,6,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
Justin Watson,KC@DEN,6,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0
Salvon Ahmed,NE@MIA,5,0,0,0,0,0,0,2,1,0,0,4,16,0,0,0,0
Pharaoh Brown,NE@MIA,5,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
Nathaniel Dell,HOU@CAR,5,0,0,0,0,0,0,3,15,0,0,3,16,0,0,0,0
Noah Fant,CLE@SEA,5,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Hunter Henry,NE@MIA,5,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
Van Jefferson,ATL@TEN,5,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Jaleel McLaughlin,KC@DEN,5,0,0,0,0,0,0,4,33,0,0,2,6,0,0,0,0
Darnell Mooney,CHI@LAC,5,0,0,0,0,0,0,1,3,0,0,1,41,0,0,0,0
Elijah Moore,CLE@SEA,5,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
Josh Palmer,CHI@LAC,5,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Trey Palmer,TB@BUF,5,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
Kyle Philips,ATL@TEN,5,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Irv Smith,CIN@SF,5,0,0,0,0,0,0,0,0,0,0,4,25,0,0,1,0
Durham Smythe,NE@MIA,5,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
Tyjae Spears,ATL@TEN,5,0,0,0,0,0,0,3,27,0,0,3,9,0,0,0,0
Jeffery Wilson,NE@MIA,5,0,0,0,0,0,0,5,23,0,0,2,14,0,0,0,0
Calvin Austin,JAX@PIT,4,0,0,0,0,0,0,2,10,0,0,2,19,0,0,0,0
Raheem Blackshear,HOU@CAR,4,0,0,0,0,0,0,3,5,0,0,2,26,0,0,0,0
D.J. Chark,HOU@CAR,4,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Jerome Ford,CLE@SEA,4,0,0,0,0,0,0,9,37,0,0,1,2,0,0,0,0
D'Onta Foreman,CHI@LAC,4,0,0,0,0,0,0,9,34,0,0,1,2,0,0,0,0
Michael Gallup,LA@DAL,4,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Jimmy Garoppolo,LV@DET,4,21,10,126,0,1,0,2,12,0,0,0,0,0,0,0,0
Noah Gray,KC@DEN,4,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Mack Hollins,ATL@TEN,4,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Trenton Irwin,CIN@SF,4,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Alexander Mattison,MIN@GB,4,0,0,0,0,0,0,16,31,0,0,1,2,0,0,0,0
Rondale Moore,BAL@ARI,4,0,0,0,0,0,0,2,11,0,0,2,10,0,0,0,0
Dameon Pierce,HOU@CAR,4,0,0,0,0,0,0,12,46,0,0,0,0,0,0,0,0
Kalif Raymond,LV@DET,4,0,0,0,0,0,0,1,-2,0,0,2,24,0,0,0,0
Dontayvion Wicks,MIN@GB,4,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Jamaal Williams,NO@IND,4,0,0,0,0,0,0,6,30,0,0,1,8,0,0,0,0
Tyler Allgeier,ATL@TEN,3,0,0,0,0,0,0,8,31,0,0,0,0,0,0,0,0
Rico Dowdle,LA@DAL,3,0,0,0,0,0,0,5,18,0,0,2,7,0,0,0,0
Chase Edmonds,TB@BUF,3,0,0,0,0,0,0,3,5,0,0,2,16,0,0,0,0
Ezekiel Elliott,NE@MIA,3,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0
Mike Gesicki,NE@MIA,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Austin Hooper,LV@DET,3,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Samaje Perine,KC@DEN,3,0,0,0,0,0,0,1,5,0,0,2,16,0,0,0,0
Kenny Pickett,JAX@PIT,3,16,10,73,0,0,0,1,10,0,0,0,0,0,0,0,0
Hunter Renfrow,LV@DET,3,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Desmond Ridder,ATL@TEN,3,12,8,71,0,0,0,3,26,0,0,0,0,0,0,1,0
Tyrod Taylor,NYJ@NYG,3,7,4,8,0,0,0,5,33,0,0,0,0,0,0,0,0
Marquez Valdes-Scantling,KC@DEN,3,0,0,0,0,0,0,0,0,0,0,2,27,0,0,1,0
Jameson Williams,LV@DET,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Ameer Abdullah,LV@DET,2,0,0,0,0,0,0,1,7,0,0,1,12,0,0,0,0
Davante Adams,LV@DET,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Mo Alie-Cox,NO@IND,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
John Bates,PHI@WAS,2,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Braxton Berrios,NE@MIA,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
