Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Jalen Nailor,MIN,WR,23,5,0,1,1,0,0,0,0,0,0,13,0,1,2.3,0,0,0
James Proche,BAL,WR,26,4,0,2,1,0,0,0,0,0,0,7,0,1,1.7,0,0,0
Ronnie Rivers,LAR,RB,23,1,0,1,1,0,0,0,0,0,1,14,0,1,2.4,0,0,0
Amari Rodgers,GNB,WR,23,6,0,1,1,0,0,0,0,0,0,14,0,1,2.4,0,2,0
Kyle Rudolph,TAM,TE,33,2,0,2,1,0,0,0,0,0,0,12,0,1,2.2,0,0,0
Mason Schreck,HOU,TE,29,2,1,2,2,0,0,0,0,0,0,6,0,1,2.6,0,0,0
Cam Sims,WAS,WR,26,6,1,7,2,0,0,0,0,0,0,13,0,1,3.3,0,0,0
Keith Smith,ATL,RB,30,6,2,2,1,0,0,0,2,0,1,8,0,1,2.0,0,0,0
Pierre Strong,NWE,RB,24,4,0,0,0,0,0,0,5,0,1,0,0,1,0.5,0,0,0
Stephen Sullivan,CAR,TE,26,4,0,1,1,0,0,0,0,0,0,13,0,1,2.3,0,0,0
Tommy Sweeney,BUF,TE,27,3,0,1,1,0,0,0,0,0,0,7,0,1,1.7,0,0,0
Tyrod Taylor,NYG,QB,33,1,0,0,0,11,0,3,30,0,3,0,0,1,1.4,1,1,0
Nick Vannett,NOR,TE,29,1,0,1,1,0,0,0,0,0,0,5,0,1,1.5,0,0,0
Montrell Washington,DEN,WR,23,6,0,3,2,0,0,0,28,0,2,4,0,1,3.2,0,3,1
Salvon Ahmed,MIA,,24,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Stephen Anderson,ARI,TE,29,6,0,1,1,0,0,0,0,0,0,2,0,,1.2,0,0,0
Devin Asiasi,CIN,,25,3,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
C.J. Beathard,JAX,QB,29,1,0,0,0,0,0,0,-1,0,1,0,0,,-0.1,0,0,0
Giovani Bernard,TAM,,31,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Khari Blasingame,CHI,,26,6,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Nick Boyle,BAL,,29,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Damiere Byrd,ATL,,29,3,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0
Lawrence Cager,NYJ,,25,1,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Trenton Cannon,TEN,,28,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Cethan Carter,MIA,,27,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Dan Chisena,MIN,,25,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Corey Clement,ARI,,28,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Chris Conley,HOU,,30,2,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0
Keke Coutee,IND,,25,2,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0
Chase Daniel,LAC,,36,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Rico Dowdle,DAL,,24,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jacob Eason,CAR,QB,25,1,0,0,0,59,0,5,0,0,0,0,0,,0.4,1,0,0
Chris Evans,CIN,RB,25,6,0,2,1,0,0,0,0,0,0,4,0,,1.4,0,0,0
Darrynton Evans,CHI,,24,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Demetric Felton,CLE,RB,24,3,0,2,1,0,0,0,-4,0,1,3,0,,0.9,0,1,0
Nick Foles,IND,,33,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Feleipe Franks,ATL,,25,4,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0
Jake Funk,LAR,,24,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Tanner Gentry,BUF,,28,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Cullen Gillaspia,SEA,,27,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Josh Gordon,TEN,,31,2,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Justin Hardee,NYJ,,28,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Clark Harris,CIN,,38,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jacob Harris,LAR,,25,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Chad Henne,KAN,,37,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0
Rashard Higgins,CAR,,28,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jacob Hollister,MIN,,29,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
J.P. Holtz,NOR,,29,3,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Brycen Hopkins,LAR,,25,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jesse James,CLE,,28,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Tyler Johnson,HOU,,24,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Ty Johnson,NYJ,RB,25,6,0,3,1,0,0,0,0,0,0,4,0,,1.4,0,0,0
Tyron Johnson,LVR,,26,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Taiwan Jones,BUF,,34,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Case Keenum,BUF,QB,34,2,0,0,0,8,0,7,0,0,5,0,0,,0.3,0,0,0
