Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Andre Baccellia,ARI,WR,25,2,0,2,2,0,0,0,0,0,0,12,0,1,0,0,0
Andy Isabella,ARI,WR,26,1,0,3,1,0,0,0,0,0,0,10,0,1,0,0,0
Simi Fehoko,DAL,WR,25,2,0,3,2,0,0,0,0,0,0,12,0,1,0,0,0
Troy Hairston,HOU,RB,24,2,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0
Brevin Jordan,HOU,TE,22,2,1,6,3,0,0,0,0,0,0,8,0,1,0,0,0
Jamal Agnew,JAX,WR,27,2,0,2,1,0,0,0,7,0,3,6,0,1,0,0,0
Dan Arnold,JAX,TE,27,2,0,1,1,0,0,0,0,0,0,8,0,1,0,0,0
Michael Burton,KAN,RB,30,2,0,1,1,0,0,0,6,0,1,2,0,1,0,0,0
C.J. Ham,MIN,RB,29,2,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0
Deonte Harty,NOR,WR,25,2,0,2,2,0,0,0,0,0,0,13,0,1,0,0,0
Lil'Jordan Humphrey,NWE,WR,24,2,1,2,1,0,0,0,0,0,0,11,0,1,0,0,0
DeVante Parker,NWE,WR,29,2,2,4,1,0,0,0,0,0,0,9,0,1,0,0,0
Gary Brightwell,NYG,RB,23,2,0,0,0,0,0,0,14,0,1,0,0,1,0,0,0
Wan'Dale Robinson,NYG,WR,21,1,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0
Chigoziem Okonkwo,TEN,TE,23,2,0,1,1,0,0,0,-4,0,1,11,0,1,0,0,0
Patrick Ricard,BAL,RB,28,2,2,1,1,0,0,0,5,0,1,7,0,1,0,0,0
Tylan Wallace,BAL,WR,23,2,0,3,1,0,0,0,0,0,0,9,0,1,0,0,0
D'Wayne Eskridge,SEA,WR,25,2,0,3,2,0,0,0,0,0,0,6,0,1,0,0,0
Tyler Kroft,SFO,TE,30,2,2,2,1,0,0,0,0,0,0,9,0,1,0,0,0
Dax Milne,WAS,WR,23,2,0,2,1,0,0,0,0,0,0,6,0,1,0,0,0
Bryan Edwards,ATL,WR,24,2,1,3,1,0,0,0,0,0,0,2,0,,0,0,0
Caleb Huntley,ATL,RB,24,1,0,0,0,0,0,0,3,0,1,0,0,,0,0,0
Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,0,2,0,0,,0,0,0
Taiwan Jones,BUF,,34,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Case Keenum,BUF,QB,34,1,0,0,0,0,0,2,2,0,3,0,0,,0,0,0
Tommy Sweeney,BUF,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Terrace Marshall Jr.,CAR,,22,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Andre Roberts,CAR,,34,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tommy Tremble,CAR,TE,22,2,0,1,1,0,0,0,0,0,0,1,0,,0,0,0
Khari Blasingame,CHI,,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Cole Kmet,CHI,,23,2,2,2,0,0,0,0,0,0,0,0,0,,0,0,0
Darnell Mooney,CHI,WR,25,2,2,5,2,0,0,0,0,0,0,4,0,,0,0,0
Ihmir Smith-Marsette,CHI,,23,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Trevon Wesco,CHI,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chris Evans,CIN,,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Clark Harris,CIN,,38,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Stanley Morgan Jr.,CIN,,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Drew Sample,CIN,TE,26,2,2,2,2,0,0,0,0,0,0,-2,0,,0,0,0
Trent Taylor,CIN,,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mitchell Wilcox,CIN,TE,26,2,0,1,1,0,0,0,0,0,0,3,0,,0,0,0
Demetric Felton,CLE,RB,24,2,0,2,1,0,0,0,-4,0,1,3,0,,0,1,0
Jesse James,CLE,,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Keke Coutee,IND,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Nick Foles,IND,,33,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Deon Jackson,IND,RB,23,2,0,0,0,0,0,0,-3,0,2,0,0,,0,0,0
Stephen Anderson,ARI,TE,29,2,0,1,1,0,0,0,0,0,0,2,0,,0,0,0
Jonathan Ward,ARI,,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Maxx Williams,ARI,,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rico Dowdle,DAL,,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
KaVontae Turpin,DAL,WR,26,2,0,0,0,0,0,0,3,0,1,0,0,,0,0,0
Mike Boone,DEN,RB,27,2,0,1,1,0,0,0,0,0,0,2,0,,0,0,0
KJ Hamler,DEN,,23,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Eric Tomlinson,DEN,,30,2,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Quintez Cephus,DET,,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Justin Jackson,DET,,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kalif Raymond,DET,,28,2,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Tyler Davis,GNB,TE,25,2,0,2,1,0,0,0,0,0,0,3,0,,0,0,0
Marcedes Lewis,GNB,,38,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,0
Amari Rodgers,GNB,,23,2,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Chris Conley,HOU,,30,2,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Phillip Dorsett,HOU,,29,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Dare Ogunbowale,HOU,,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Luke Farrell,JAX,,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jamycal Hasty,JAX,,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chris Manhertz,JAX,,30,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chad Henne,KAN,,37,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Salvon Ahmed,MIA,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Cethan Carter,MIA,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Myles Gaskin,MIA,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Hunter Long,MIA,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ben Ellefson,MIN,TE,26,2,0,1,1,0,0,0,0,0,0,2,0,,0,0,0
Marquez Callaway,NOR,,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Adam Prentice,NOR,RB,25,2,1,1,1,0,0,0,0,0,0,2,0,,0,1,0
Adam Trautman,NOR,,25,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,0
Matthew Slater,NWE,,37,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Darius Slayton,NYG,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Antonio Williams,NYG,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lawrence Cager,NYJ,,25,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Justin Hardee,NYJ,,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ty Johnson,NYJ,RB,25,2,0,3,1,0,0,0,0,0,0,4,0,,0,0,0
C.J. Uzomah,NYJ,,29,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Trenton Cannon,TEN,,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Josh Gordon,TEN,,31,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
