,Player,PPRFantasyPoints
536,Jalyn Holmes,0.0
537,Rashod Hill,0.0
538,Dan Bailey,0.0
539,Armon Watts,0.0
540,Olabisi Johnson,8.600000000000001
541,Dakota Dozier,0.0
542,Jaleel Johnson,0.0
543,Tajae Sharpe,0.0
544,Kyle Rudolph,4.800000000000001
545,Shamar Stephen,0.0
546,K.J. Osborn,0.0
547,Pat Elflein,0.0
548,Irv Smith Jr.,2.1
549,Brian O'Neill,0.0
550,Olisaemeka Udoh,0.0
551,Hercules Mata'afa,0.0
552,Anthony Barr,0.0
553,Mike Boone,0.0
554,Adam Thielen,29.0
555,Nate Meadors,0.0
556,Cameron Dantzler,0.0
557,Anthony Harris,0.0
558,Kirk Cousins,19.76
559,Alexander Mattison,12.0
560,Ifeadi Odenigbo,0.0
561,Eddie Yarbrough,0.0
562,Ameer Abdullah,0.0
563,Kris Boyd,0.0
564,Dru Samia,0.0
565,Harrison Smith,0.0
566,Troy Dye,0.0
567,Britton Colquitt,0.0
568,Justin Jefferson,4.6
569,Riley Reiff,0.0
570,Mike Hughes,0.0
571,Garrett Bradbury,0.0
572,C.J. Ham,0.0
573,Jeff Gladney,0.0
574,Eric Wilson,0.0
575,Jon Runyan,0.0
576,Tim Boyle,-0.2
577,Darnell Savage Jr.,0.0
578,Tyler Lancaster,0.0
579,Dean Lowry,0.0
580,David Bakhtiari,0.0
581,Elgton Jenkins,0.0
582,Robert Tonyan,0.0
583,Tyler Ervin,5.4
584,Marquez Valdes-Scantling,19.6
585,Jace Sternberger,0.0
586,Josiah Deguara,2.2
587,Malik Taylor,0.0
588,JK Scott,0.0
589,Kingsley Keke,0.0
590,Za'Darius Smith,0.0
591,AJ Dillon,1.4
592,Marcedes Lewis,0.0
593,Kenny Clark,0.0
594,Vernon Scott,0.0
595,Hunter Bradley,0.0
596,Aaron Jones,17.6
597,Ricky Wagner,0.0
598,Mason Crosby,0.0
599,Jonathan Garvin,0.0
600,Allen Lazard,18.200000000000003
601,Jamaal Williams,8.2
602,Ty Summers,0.0
603,Will Redmond,0.0
604,Corey Linsley,0.0
605,Yosuah Nijman,0.0
606,Lane Taylor,0.0
607,Adrian Amos,0.0
608,Kevin King,0.0
609,Oren Burks,0.0
610,Lucas Patrick,0.0
611,Ka'dar Hollman,0.0
612,Josh Jackson,0.0
613,Christian Kirksey,0.0
614,Preston Smith,0.0
615,Jaire Alexander,0.0
616,Aaron Rodgers,30.76
617,Davante Adams,41.6
618,Chandon Sullivan,0.0
619,Rashan Gary,0.0
620,Justin Herron,0.0
621,Justin Bethel,0.0
622,Jake Bailey,0.0
623,J.C. Jackson,0.0
624,Cody Davis,0.0
625,Jakob Johnson,0.0
626,Anfernee Jennings,0.0
627,N'Keal Harry,6.9
628,Joejuan Williams,0.0
629,Joe Cardona,0.0
630,Ja'Whaun Bentley,0.0
631,Deatrich Wise Jr.,0.0
632,Cam Newton,25.7
633,Shilique Calhoun,0.0
634,Jonathan Jones,0.0
635,Isaiah Wynn,0.0
636,Lawrence Guy,0.0
637,Derek Rivers,0.0
638,Terrence Brooks,0.0
639,Adam Butler,0.0
640,Kyle Dugger,0.0
641,Julian Edelman,13.0
642,Chase Winovich,0.0
643,Sony Michel,9.7
644,Adrian Phillips,0.0
645,Stephon Gilmore,0.0
646,Shaq Mason,0.0
647,Jason McCourty,0.0
648,Hjalte Froholdt,0.0
649,Ryan Izzo,3.5
650,Devin Asiasi,0.0
651,Damiere Byrd,0.0
652,Jermaine Eluemunor,0.0
653,Brandon Copeland,0.0
654,Devin McCourty,0.0
655,John Simon,0.0
656,Rex Burkhead,3.2
657,Joe Thuney,0.0
658,Matthew Slater,0.0
659,David Andrews,0.0
660,Jakobi Meyers,0.0
661,Byron Cowart,0.0
662,James White,8.2
663,Michael Onwenu,0.0
664,Emmanuel Ogbah,0.0
665,Calvin Munson,0.0
666,Jerome Baker,0.0
667,Jamal Perry,0.0
668,Elandon Roberts,0.0
669,DeVante Parker,8.7
670,Solomon Kindley,0.0
671,Mack Hollins,0.0
672,Raekwon Davis,0.0
673,Blake Ferguson,0.0
674,Preston Williams,6.1000000000000005
675,Jordan Howard,6.7
676,Byron Jones,0.0
677,Austin Jackson,0.0
678,Bobby McCain,0.0
679,Andrew Van Ginkel,0.0
680,Robert Hunt,0.0
681,Noah Igbinoghene,0.0
682,Zach Sieler,0.0
683,Isaiah Ford,3.3
684,Samuel Eguavoen,0.0
685,Brandon Jones,0.0
686,Shaq Lawson,0.0
687,Adam Shaheen,0.0
688,Eric Rowe,0.0
689,Kamu Grugier-Hill,0.0
690,Jakeem Grant,5.5
691,Xavien Howard,0.0
692,Ted Karras,0.0
693,Patrick Laird,2.9
694,Jason Sanders,0.0
695,Julie'n Davenport,0.0
